account_id,city,state,region
940525796500,JEJUSI,JEJUDO,jeju
477954055844,수영구,부산시,gyeongnam
766947752708,YUSEONGGU,DAEJEON,chungnam
717229058977,BUSAN,BUSAN,gyeongnam
446923833140,"GONGJUSI,",CHUNGCHEONGNAMDO,chungnam
237781548551,GONGJUSI,CHUNGCHEONGNAMDO,chungnam
366076684399,GONGJUSI,CHUNGCHEONGNAMDO,chungnam
600454192123,YUSEONGGU,DAEJEON,chungnam
335224751778,CHANGWON,GYEONGNAM,gyeongnam
242109194904,CHUNCHEONSI,GANGWONDO,gangwon
374960567486,GUNSANSI,JOENLABUKDO,jeonbuk
606858542953,세종특별자치시,충청남도,chungnam
708082261747,JEONJUSI,"JEOLLABUKDO,REPUBLICOFKOREA",jeonbuk
337301311550,SUYEONGGU,BUSAN,gyeongnam
833404998424,POHANGSI,GYUNGSANGBUKDO,gyeongbuk
342810744806,GYEONGSANGBUKDO,SANGJUSI,gyeongbuk
282518491560,DAEGU,SUSEONGGU,gyeongbuk
910616693304,DAEGUMETROPOLITANCITY,DAEGU,jeonnam
988545707787,남구,대구,jeonnam
924151097170,JEONJUSI,JEOLLABUKDO,jeonbuk
572248474717,CHANGWONSI,GYUNGNAM,gyeongnam
972081065472,"HYEONPUNGEUP,DALSEONGGUN",DAEGU,gyeongbuk
106523991214,JEJUSI,JEJUDO,jeju
374656536781,BUSAN,YONJEGU,gyeongnam
303998760044,CHUNGCHEONGBUKDO,"SANGDANGGU,",chungbuk
496637285575,BUSAN,KOREA,gyeongnam
483605465931,DAEJEON,DAEJEON,chungnam
191963223035,SUSEONGGU,DAEGU,gyeongbuk
24277338628,JEJUSI,JEJUDO,jeju
686363304504,"DEOKJINGU,JEONJUSI",JEOLLABUKDO,jeonbuk
704574379635,CHEONANSI,CHUNGCHEONGNAMDO,chungnam
153517331121,GIMHAESI,GYEONGSANGNAMDO,gyeongnam
20762117075,YUSEONGGO,DAEJEON,chungnam
44085909635,NAMGU,DAEGU,gyeongbuk
462103337407,YOUSONG,DAEJON,chungnam
202683695090,GUMISI,GYEONGSANGBUKDO,gyeongbuk
63418038985,GWANGJU,BUKGU,jeonnam
447697646034,GONGJUSI,CHUNGCHEONGNAMDO,chungnam
543694473273,GIMHAESI,GIMHAESI,gyeongnam
723427555413,YUSEONGGU,DAEJEON,chungnam
811925068804,YOOSEONG,DAEJEON,chungnam
608561325839,CHUNGJOO,청주시충청북도,chungbuk
882562196796,JEJU,JEJU,jeju
566230547915,동래구,부산광역시,gyeongnam
722601682815,CHUNGJUSI,CHOONGCHUNGBUKDO,chungbuk
674430067660,GUMISI,GYEONGSANGBUKDO,gyeongbuk
381978656341,GEUMSANGUN,CHUNGCHEONGNAMDO,chungnam
274740264677,서구,대전,chungnam
482620095995,DALSEOGU,DAEGU,gyeongbuk
472285748139,DONGNAEGU,BUSAN,gyeongnam
190594267513,SEOGU,BUSAN,gyeongnam
350313539090,대전시,서구,chungnam
472549779023,WONJUSI,GANGWONDO,gangwon
496606097146,BUSAN,GEUMJEONGGU,gyeongnam
666348871544,GEOJE,GYEONGSANGNAMDO,gyeongnam
762329027531,DAEDEOKGU,"DAEJEON,REPUBLICOFKOREA",chungnam
683737231758,진천군,충청북도,chungbuk
34553565409,BUSAN,HAEUNDAEGU,gyeongnam
94970881308,BUKGU,DAEGU,jeonnam
238489709320,동구,대전,chungnam
619330528850,ULSAN,ULSAN,gyeongnam
517928373541,IKSAN,JEOLLABUKDO,jeonbuk
934437647532,SOKCHOSI,GANGWONDO,gangwon
377598944106,속초시,강원도,gangwon
415197733575,HONGCHEONGUN,GANGWONDO,gangwon
506980105169,JEJU,JEJU,jeju
507977523569,춘천시,GANGWEONDO,gangwon
245439916157,NAMGU,DAEGU,gyeongbuk
407416792023,BUKGU,BUSAN,jeonnam
